"Title","Instructor","Days","Time","Enrolled","Units","Mode","Type"
"PE 104 MWA Qtr 2 - Mindful Walking at Reed","Granger","W","12:00 - 12:50","Full (18 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 MWB Qtr 2 - Mindful Walking at Reed","Granger","W","16:10 - 17:00","Full (17 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 OSC Qtr 2 - Outdoor Skills Class","Symms","W","15:10 - 17:20","Full (10 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 PIL Qtr 2 - Pilates","Bradley","MW","12:00 - 12:50","Full (13 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 RGB Qtr 2 - Rugby","Baravilala","Su
W","12:00 - 13:50
16:10 - 18:00","6 of 40","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SCC Qtr 2 - Soccer - Co Ed Class","Beutler","M","16:10 - 18:00","Full (1 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SDA Qtr 2 - Applied Fitness & Self Defense","Thomas","F","16:10 - 18:10","Full (0 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SDF Qtr 2 - Self Defense","Morrison","TuTh","15:10 - 16:00","9 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SDT Qtr 2 - Self Defense: Theory & Fitness","Thomas","F","13:45 - 15:45","11 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SQB Qtr 2 - Squash - Beginning","Zaharchuk","TuTh","15:10 - 16:00","11 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SQI Qtr 2 - Squash - Intermediate","Zaharchuk","TuTh","16:10 - 17:00","5 of 12","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 SQT Qtr 2 - Squash - Team","Zaharchuk","MW","18:10 - 20:00","5 of 15","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ST1 Qtr 2 - Strength Training - Beginning","Holverson","Tu","16:40 - 18:30","Full (11 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ST2 Qtr 2 - Strength Training - Advanced","Holverson","Th","16:40 - 18:30","Full (10 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 TC1 Qtr 2 - Tai Chi - Beginning","Sitt","TuTh","15:10 - 16:00","Full (3 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 TC2 Qtr 2 - Tai Chi - Intermediate","Sitt","TuTh","16:10 - 17:00","3 of 16","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 UFB Qtr 2 - Ultimate Frisbee","Hursey","Su
F","14:10 - 16:00
16:10 - 18:00","17 of 40","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 VOL Qtr 2 - Volleyball","Prewitt","MW","16:10 - 17:00","Full (8 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XAM Qtr 2 - A.M. Yoga - All Levels","Kraai","MW","7:45 - 8:45","20 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XHF Qtr 2 - A.M. Yoga - Hatha Flow","Ansley","TuTh","7:45 - 8:45","19 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XY1 Qtr 2 - Yoga - Hatha","Lake-Freeman","TuTh","17:10 - 18:00","Full (6 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XYI Qtr 2 - Yoga - Hatha Intermediate","Ansley","MW","16:40 - 17:30","18 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XYR Qtr 2 - Yoga for Relaxation","Lake-Freeman","TuTh","18:10 - 19:00","Full (14 on wait list)","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 XYV Qtr 2 - Yoga - Vinyasa Flow","Johnson","TuTh","12:00 - 12:50","16 of 25","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 104 ZUM Qtr 2 - Zumba - 2","Yago","TuTh","20:10 - 21:00","16 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 203 CLI Qtr 1 - Climbing - Independent","Symms",NA,"TBD","13 of 15","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 203 OFF Qtr 1 - Off-Campus PE","Lombardo",NA,"TBD","8 of 20","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 203 RUN Qtr 1 - Running Club","Crocker","Tu","17:10 - 18:00","Full (no wait list available)","0 units","Online Instruction Only","PHYSICAL EDUCATION"
"PE 204 CLI Qtr 2 - Climbing - Independent","Symms",NA,"TBD","Full (1 on wait list)","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 204 OFF Qtr 2 - Off Campus PE","Lombardo",NA,"TBD","6 of 20","0 units","Instruction mode N/A","PHYSICAL EDUCATION"
"PE 204 RUN Qtr 2 - Running Club","Crocker","Tu","17:10 - 18:00","Full (3 on wait list)","0 units","Online Instruction Only","PHYSICAL EDUCATION"
"PE 303 CME Qtr 1 - Community Engagement","Tsang",NA,"TBD","2 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 304 CME Qtr 2 - Community Engagement","Tsang",NA,"TBD","0 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 403 EXL Qtr 1 - Experiential Learning","Martin",NA,"TBD","2 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PE 404 EXL Qtr 2 - Experiential Learning","Martin",NA,"TBD","0 of 20","0 units","In-Person Instruction Only","PHYSICAL EDUCATION"
"PHIL 201 S01 - Logic","Bedau","TuTh","12:00 - 13:20","23 of 25","1 unit","In-Person Instruction Only","LECTURE"
